user_id,recs
1,"[865456, 1050310, 969231, 959316, 1132231, 1082185, 1132771, 8090541, 8293439, 1004906, 940947, 1081189, 978974, 1041796, 834484, 861272, 1115576, 1005186, 958046, 1031697, 962568, 979707, 961554, 1062002, 995242, 15926712, 908213, 986947, 971585, 914190, 1074612, 13417048, 13876341, 1064441, 990656, 951954, 5577022, 15830875, 1132814, 883616, 1131115, 907957, 8091601, 821867, 917704, 931860, 1042083, 1101422, 933913, 856942]"
3,"[879948, 13842214, 851057, 994891, 920626, 7167249, 9526886, 1083328, 909638, 1096727, 1053690, 9526563, 878302, 913202, 7167218, 872021, 6463658, 958154, 835476, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186]"
6,"[1119051, 921744, 849843, 920308, 1071939, 5569230, 887325, 1100691, 1024306, 845208, 840361, 1120741, 995242, 873654, 1037863, 949142, 847270, 825541, 948650, 7431990, 1078346, 6979393, 874149, 1040935, 820165, 1015296, 16733215, 1017061, 1099058, 956672, 870315, 1123407, 1006718, 1075214, 7410170, 5580166, 946489, 843819, 13382461, 1108624, 926804, 9859082, 1047193, 14111230, 14106553, 1104227, 1020683, 6553035, 12604482, 15863831]"
7,"[939900, 5592610, 866211, 1055504, 909714, 986912, 1055646, 834484, 847270, 1122358, 1082185, 1001525, 898068, 976998, 953476, 994928, 855557, 5568378, 16809431, 1077703, 836281, 938700, 6034857, 1074172, 822049, 961554, 857503, 860776, 1135694, 1126899, 1106523, 5592931, 1003188, 822346, 1058997, 888835, 896369, 5591154, 1085476, 850841, 848268, 1022003, 1073224, 1013321, 839747, 882830, 916050, 1064441, 861819, 945909]"
8,"[953561, 1008074, 1076769, 904023, 854405, 5588238, 1077410, 1041259, 7466806, 825749, 5590287, 5582789, 824555, 953476, 1110843, 5588666, 5585735, 822241, 835098, 845208, 8011285, 1004906, 1074333, 862139, 5584847, 5578494, 835576, 8011282, 5585639, 862070, 901062, 1051211, 1029743, 872137, 7025250, 5588942, 923746, 839243, 884897, 1082185, 5584645, 913425, 1062966, 5569471, 920421, 863449, 924610, 5569230, 8205218, 12330794]"
9,"[1029743, 995242, 10457112, 9297474, 990865, 919427, 864335, 889692, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036]"
13,"[1127624, 838186, 1069621, 1038985, 941734, 951197, 838602, 856060, 1029743, 13115579, 1071939, 902172, 1104146, 920308, 1103741, 915041, 840361, 826249, 862070, 1082185, 981521, 1068708, 995242, 1069635, 1048237, 1089954, 923746, 951590, 878996, 1032549, 13776705, 1024306, 6773215, 850645, 6534178, 1094371, 1132280, 1028953, 904813, 980727, 1132771, 950439, 1041796, 961021, 1051781, 1115098, 1014238, 9859052, 13133916, 13133815]"
14,"[6979089, 1029743, 1122358, 1025611, 1062966, 13841744, 952408, 16770156, 1123106, 933067, 1130858, 981760, 951590, 840601, 1074271, 1008673, 1121384, 902377, 16766358, 13876901, 967395, 6979594, 965693, 912681, 953476, 959985, 1040371, 1039994, 867293, 954922, 925205, 14025398, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776]"
15,"[13073175, 1082310, 1023958, 959076, 1076881, 1092303, 910439, 828935, 1055646, 907392, 968215, 1106523, 962274, 1082185, 1082269, 901062, 1098248, 1042697, 1132911, 17105257, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165]"
16,"[1082185, 1062973, 13007710, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476]"
